assay,chrom,w_mono,w_triso,mu_A,mu_R,mu_T,target_div,pop_id
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49295
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49296
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49297
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49298
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49299
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49300
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49301
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49302
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49303
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49304
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49305
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49306
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49307
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49308
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49309
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49310
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49311
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49312
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49313
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49314
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49315
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49316
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49317
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49318
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49319
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49320
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49321
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49322
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49323
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49324
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49325
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49326
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49327
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49328
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49329
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49330
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49331
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49332
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49333
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49334
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49335
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49336
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49337
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49338
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49339
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49340
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49341
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49342
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49343
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49344
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49345
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49346
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49347
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49348
a986,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.046415888336127774,7690000.0,p49349
a987,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.12915496650148828,7690000.0,p49350
a987,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.12915496650148828,7690000.0,p49351
a987,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.12915496650148828,7690000.0,p49352
a987,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.12915496650148828,7690000.0,p49353
a987,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.12915496650148828,7690000.0,p49354
a987,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.12915496650148828,7690000.0,p49355
